,,,,,,,,,,,,
Car,Reg,Date of MOT,Days Left,Carry Out YES/NO,Service History,Total Keys,V5?,Serviced,Serviced,Work Needed,Car Ready,
Alfa Romeo Giulia,KY68 ZCV,11/05/2026,47,Yes,2 Services ( 1 Main Dealer ),2,Yes,Serviced,Yes,Start Car a day before the viewing ,Yes,
BMW 420d,LS64 EGC,23/07/2026,120,Yes,Yes ( iDrive ),2,Yes,Serviced,Yes,Check Rear FOG lights / Start Car,No,
Jaguar XE,OU67 VUL,09/03/2025,-381,Yes,5 Services ( 4 Main Dealer ),2,No,Serviced,Yes,Engine Issues (?),No,
Dacia Sandero,AP71 CZN,11/09/2026,170,Yes,No,2,No,Serviced,No,None ,Yes,
Nissan Juke,EU19 NLZ,11/10/2026,200,Yes,No,1,No,Serviced,No,None ,Yes,
Range Rover Evoque,R10 DYK,05/04/2024,-719,Yes,3 Services,2,No,Serviced,Yes,None ,Yes,
VW Golf R,YB65 RDX,26/01/2027,307,No,5 Services,2,Yes,Serviced,Yes,Engine knocking noise ,No,
Mini Countryman,PX16 ZNJ,05/12/2026,255,No,5 Services,2,Yes,Serviced,Yes,Starting Noise / BMW Specialist,No,
Range Rover Evoque,YC68 OUX,02/10/2026,191,Yes,3 Services,2,Yes,Serviced,Yes,Re-do outside pics,Yes,
Mercedes A Class,PO70 UUW,24/09/2026,183,Yes,1 Service,1,Yes,Serviced,Yes,None ,Yes,
Audi Q5,NU64 ONN,21/12/2026,271,No,N/A,2,Yes,Serviced,Yes,Weird noise when accelerating from front right,No,
VW Golf GTI,VK19 ZNX,16/01/2027,297,No,3 Main Dealer,2,Yes,Serviced,Yes,None ,Yes,
Land Rover Discovery,GD17 SMD,15/01/2027,296,No,5 Services,2,Yes,Serviced,Yes,Audio/Radio Issue ,No,
Range Rover Velar,SO18 YRY,19/10/2026,208,Yes,3 Services ( 2 Main Dealer ),2,Yes,Serviced,Yes,None ,Yes,
Honda Civic,GX19 VBA,05/05/2026,41,Yes,N/A,2,Yes,Serviced,No,Check timing Chain,No,
Jaguar F Pace,NV68 LGU,13/07/2026,110,Yes,5 Services ( 3 Main Dealer ),2,Yes,Serviced,No,None ,Yes,
Jaguar F Pace,SW66 UOG,27/01/2027,308,No,3 Services,2,Yes,Serviced,No,Engine Swap,No,
Audi S3,DF69 EOD,17/02/2027,329,No,5 Services,2,Yes,Serviced,No,Droplink needs fixing,No,
Range Rover Evoque,HN17 EZT,04/03/2027,344,No,4 Services,2,Yes,Serviced,No,Timing Chain Replacement,No,
Range Rover Evoque,GF66 XPV,23/02/2026,-30,Yes,10 Services,2,Yes,Serviced,No,None ,Yes,
BMW 3 Series,ST68 HBC,29/01/2027,310,No,4 Services ( 3 Main Dealer ),1,Yes,Serviced,No,Rear Light / Rear Reflector / Parts here already,No,
Jaguar F Pace,YY16 ZWV,28/11/2026,248,No,5 Services ( 2 Main Dealer ),2,Yes,Serviced,No,Check Tyres,No,
Mercedes A45,ET67 XBL,20/02/2027,332,No,5 Services ( 4 Main Dealer ),1,No,Serviced,No,None ,Yes,
Jeep Renegade,PE64 VYW,29/01/2027,310,No,FSH,2,Yes,Serviced,Yes,Daytime running lights / replace key battery,No,
Jaguar F Pace,MJ17 ZHR,07/11/2026,227,No,3 Services ( 2 Main Dealer ),1,No,Serviced,Yes,None ,Yes,
Audi Q7,GV19 ZVL,22/09/2025,-184,Yes,N/A,1,Yes,Serviced,No,Engine Replacement,No,
Kia Sorento,LX66 OTJ,09/09/2026,168,Yes,4 Services,1,Yes,Serviced,Yes,Order Headlight Washer + Delete EGR + Repair Boot,No,
